Delta_Gibbs,smiles
-5.864,CC1=C(C(=C(N=C1C(=O)O)C2=NC3=C(C=C2)C(=O)C(=C(C3=O)N)OC)N)C4=C(C(=C(C=C4)OC)OC)O
-6.193,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=C(OC)C(O)=C13
-5.887,CC1=CCCC(=C)C=CC(CC1)C(C)C
-1.333,CCCCCCCCC=CCCCCCC(=O)O
-8.531,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O
-7.69,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
-3.42,CC(=CCC=C(C)C=C)C
-5.49,CC1=CCCC(C=CC(CC1)C(C)C)(C)O
-1.924,CCC(=O)OCC=C(C)CCC=C(C)C
-7.087,CN(C)C1=CC=C(C=C1)C(=O)/C=C/C2=CC=CC=C2
-2.989,CC(=CCCC(=CCCC(=CCO)C)C)C
-5.431,C1=CC=C(C=C1)CCO
-4.136,CC(CCC=C(C)C)CC(=O)OC
-6.038,CC(C)C1CCC2(C1C3C2CCC3=C)C
-6.362,CC1CCC(C2=C1C=CC(=C2)C)C(C)C
-5.491,CC1=CC=C(C=C1)C(C)CCC=C(C)C
-5.52,CC1=CCC2CC1C2(C)CCC=C(C)C
-5.566,CC1CCC2C(C2(C)C)C3C1CCC3=C
-5.54,CC1CCC(C(C1)OC(=O)C)C(C)C
-6.133,CC1=CC2C(CC1)C(=C)CCC2C(C)C
-5.796,CC1CCC(C(C1)O)C(C)C
-5.708,CC1(C2C1C3C(CCC3(C)O)C(=C)CC2)C
-5.815,CC1=CCCC(=C)C=CC(CC1)C(C)C
-3.597,CC(=CCCC(=CC=O)C)C
-5.638,CC1=CCC2(C1C2)C(C)C 
-5.677,CC1(C2CCC1(C(C2)O)C)C
-6.112,CC1=CCC(C=CCC(=CCC1)C)(C)C
-4.188,CC(=CCCC(C)(C=C)O)C
-5.608,CC1CCCC2=CCC(CC12C)C(=C)C
-5.636,CC1=CCC2CC1C2(C)C
-6.742,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3
-6.627,C1=CC(=C(C=C1C(=O)C2=C(C=C(C=C2O)O)O)O)O
-4.901,CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C
-5.92,CC1CCC(C(=O)C1)C(C)C
-6.163,CC1=CC(=O)C(CC1)C(C)C
-4.938,COC1=C(C=C(C=C1)CC=C)OC
-5.714,COC(=O)C1=CC=CC=C1
-7.722,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O
-5.817,CC1=CCC(=CC1)C(C)C
